,itr,r,Fusion_M,Fusion_R
0,0.0,0.0,0.955,0.9109109109109109
1,0.0,0.05,0.939,0.8858858858858859
2,0.0,0.1,0.96,0.9219219219219219
3,0.0,0.15000000000000002,0.964,0.928928928928929
4,0.0,0.2,0.918,0.8438438438438438
5,0.0,0.25,0.956,0.913913913913914
6,0.0,0.30000000000000004,0.898,0.8128128128128128
7,0.0,0.35000000000000003,0.932,0.8698698698698699
8,0.0,0.4,0.932,0.8718718718718719
9,0.0,0.45,0.885,0.7937937937937938
10,0.0,0.5,0.894,0.8118118118118118
11,0.0,0.55,0.919,0.8428428428428428
12,0.0,0.6000000000000001,0.902,0.8158158158158159
13,0.0,0.65,0.905,0.8218218218218218
14,0.0,0.7000000000000001,0.861,0.7557557557557557
15,0.0,0.75,0.836,0.7087087087087087
16,0.0,0.8,0.838,0.7107107107107107
17,0.0,0.8500000000000001,0.813,0.6736736736736737
18,0.0,0.9,0.787,0.6346346346346347
19,0.0,0.9500000000000001,0.739,0.5645645645645646
20,0.0,1.0,0.786,0.6266266266266266
21,1.0,0.0,0.926,0.8638638638638638
22,1.0,0.05,0.95,0.9019019019019019
23,1.0,0.1,0.949,0.9019019019019019
24,1.0,0.15000000000000002,0.93,0.8668668668668669
25,1.0,0.2,0.948,0.9019019019019019
26,1.0,0.25,0.908,0.8208208208208209
27,1.0,0.30000000000000004,0.916,0.8418418418418419
28,1.0,0.35000000000000003,0.892,0.7927927927927928
29,1.0,0.4,0.899,0.8098098098098098
30,1.0,0.45,0.906,0.8238238238238238
31,1.0,0.5,0.9,0.8108108108108109
32,1.0,0.55,0.88,0.7777777777777778
33,1.0,0.6000000000000001,0.866,0.7587587587587588
34,1.0,0.65,0.835,0.7177177177177178
35,1.0,0.7000000000000001,0.832,0.6986986986986987
36,1.0,0.75,0.865,0.7517517517517518
